State,CensusTract,Prog1,Prog2,Prog3,Prog4,FundingTotal,Projects,CEJST_Indicators,CoveredPrograms,Monitor
GA,13051011700,Brownfields Projects,Corps of Engineers Operation and Maintenance,,,4275000,"Brownfields Project - Savannah, City of and Savannah Harbor, GA","NPL_ET, TSDF_ET, FLD_ET","Remediation & Reduction of Legacy Pollution, Climate Change, Clean Water & Waste Infrastructure",
GA,13051011800,Major Rehabilitation for Rivers and Harbors,,,,48000000,"Savannah Harbor Expansion, GA",N_PLN,Remediation & Reduction of Legacy Pollution,
GA,13053020100,Clean School Bus Program,,,,316000,Chattahoochee County,DS_ET,Clean Transportation,
GA,13053020201,Clean School Bus Program,Grants For States And Tribes For Voluntary Restoration,,,403168.1,"Chattahoochee County, The Georgia Sentinel Landscape Futures Initiative","DS_ET, N_CLT, N_HLTH","Clean Transportation, Climate Change",
GA,13053020203,Clean School Bus Program,,,,316000,Chattahoochee County,DS_ET,Clean Transportation,
GA,13053020205,Clean School Bus Program,Grants For States And Tribes For Voluntary Restoration,,,403168.1,"Chattahoochee County, The Georgia Sentinel Landscape Futures Initiative","DS_ET, N_CLT, N_HLTH","Clean Transportation, Climate Change",
GA,13053020206,Clean School Bus Program,,,,316000,Chattahoochee County,DS_ET,Clean Transportation,
GA,13057090505,Watershed And Flood Prevention Operations,,,,6300000,Mill-Canton Creek 7,"FLD_ET, EAL_ET","Remediation & Reduction of Legacy Pollution, Clean Water & Waste Infrastructure",
GA,13059030101,Local and Regional Project Assistance Grants (RAISE),,,,12485000,Reimagine North Avenue,N_TRN,Clean Transportation,X
GA,13059030102,Local and Regional Project Assistance Grants (RAISE),,,,12485000,Reimagine North Avenue,N_TRN,Clean Transportation,X
GA,13073030401,Corps of Engineers Operation and Maintenance,Inland Flood Risk Management Projects,,,2166000,"J Strom Thurmond Lake, GA & SC",FLD_ET,"Climate Change, Clean Water & Waste Infrastructure",
GA,13075960100,Clean School Bus Program,,,,158000,Cook County,DS_ET,Clean Transportation,
GA,13075960200,Clean School Bus Program,,,,158000,Cook County,DS_ET,Clean Transportation,
GA,13075960301,Clean School Bus Program,,,,158000,Cook County,DS_ET,Clean Transportation,
GA,13075960302,Clean School Bus Program,,,,158000,Cook County,DS_ET,Clean Transportation,
GA,13075960400,Clean School Bus Program,,,,158000,Cook County,DS_ET,Clean Transportation,
GA,13077170802,"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) - Formula",,,,424000,"SR 54 @ Bear Creek 3.5 MI SE of Moreland, Row","N_CLT, TD_ET",Climate Change,X
GA,13081010400,"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) - Formula",,,,480000,"I-75 @ Cr 355/Old Hatley Road, Pe","N-CLT, TD_ET",Climate Change,X
GA,13081010500,"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) - Formula",,,,2400000,"I-75 @ Cr 116/Bedgood Road, Pe and I-75 @ Cr 117/Musselwhite Road, Pe and I-75 @ Cr 355/Old Hatley Road, Pe","N_CLT, TD_ET",Climate Change,X
GA,13089021602,Carbon Reduction Program,,,,1009355.12,"SR 236 from Leafmore Place to Pangborn Road, Cst",N_TRN,Clean Transportation,
GA,13089021707,Carbon Reduction Program,,,,1009355.12,"SR 236 from Leafmore Place to Pangborn Road, Cst",,,
GA,13089021708,Carbon Reduction Program,,,,1009355.12,"SR 236 from Leafmore Place to Pangborn Road, Cst",,,
GA,13095000200,"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) - Formula",,,,34000,"SR 520Bu @ Flint River In Albany, Row","N_CLT, TD_ET",Climate Change,X
GA,13095001403,"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) - Formula",,,,34000,"SR 520Bu @ Flint River In Albany, Row",,Climate Change,X
GA,13095011400,"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) - Formula",,,,34000,"SR 520Bu @ Flint River In Albany, Row",,Climate Change,X
GA,13105000502,Corps of Engineers Operation and Maintenance,Inland Flood Risk Management Projects,,,6213000,"Richard B Russell Dam And Lake, GA & SC","FLD_ET, N_CLT","Climate Change, Clean Water & Waste Infrastructure",
GA,13111050200,"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) - Formula",,,,440000,"SR 60 @ Toccoa River, Pe","N_CLT, TD_ET",Climate Change,X
GA,13111050500,Capital Improvement And Maintenance - Legacy Road And Trail Remediation Program,,,,350000,Cooper Creek (AKA Mulky Creek Duncan Ridge),"N_WTR, N_HLTH",Remediation & Reduction of Legacy Pollution,
GA,13117130204,Watershed And Flood Prevention Operations,,,,15152000,Settingdown Creek 54 and Settingdown Creek 56,"FLD_ET, EAL_ET",Remediation & Reduction of Legacy Pollution,
GA,13117130410,Corps of Engineers Operation and Maintenance,Inland Flood Risk Management Projects,,,845000,"Buford Dam And Lake Sidney Lanier, GA",FLD_ET,"Climate Change, Clean Water & Waste Infrastructure",
GA,13121001002,Industrial Research and Assessment Centers,,,,1400000,Georgia Intsitute of Technology,"N_WKFC, N_ENY",Training & Workforce Development,X
GA,13121003500,Local and Regional Project Assistance Grants (RAISE),,,,12500000,Five Points Transformation Phase 2,N_TRN,Clean Transportation,X
GA,13121006702,Water-Related Environmental Infrastructure Assistance,,,,6000000,"Atlanta Environmental Infrastructure, GA","N_WTR, N_PLN",Clean Water & Waste Infrastructure,
GA,13121007805,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),,,,50000,"Utoy Creek, GA (Sec 206)",EAL_ET,"Climate Change, Clean Water & Waste Infrastructure",
GA,13121007806,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),,,,50000,"Utoy Creek, GA (Sec 206)",EAL_ET,"Climate Change, Clean Water & Waste Infrastructure",
GA,13121007809,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),,,,50000,"Utoy Creek, GA (Sec 206)",EAL_ET,"Climate Change, Clean Water & Waste Infrastructure",
GA,13121007810,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),,,,50000,"Utoy Creek, GA (Sec 206)",EAL_ET,"Climate Change, Clean Water & Waste Infrastructure",
GA,13121009802,Watershed And Flood Prevention Operations,,,,7555000,Whitewater Creek Watershed,"FLD_ET, EAL_ET","Remediation & Reduction of Legacy Pollution, Clean Water & Waste Infrastructure",
GA,13121010312,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),,,,50000,"Utoy Creek, GA (Sec 206)",EAL_ET,"Climate Change, Clean Water & Waste Infrastructure",
GA,13121011900,Local and Regional Project Assistance Grants (RAISE),,,,12500000,Five Points Transformation Phase 2,N_TRN,Clean Transportation,X
GA,13123080200,Watershed And Flood Prevention Operations,,,,55000,PIFR - Rainbow Lake Watershed,"FLD_ET, EAL_ET","Remediation & Reduction of Legacy Pollution, Clean Water & Waste Infrastructure",
GA,13133950100,Capital Improvement And Maintenance - Legacy Road And Trail Remediation Program,,,,46000,Towns Creek OHV Trail,N-HLTH,Remediation & Reduction of Legacy Pollution,
GA,13147960501,Corps of Engineers Operation and Maintenance,Inland Flood Risk Management Projects,,,980666.67,"Hartwell Lake, GA & SC","FLD_ET, N_HLTH","Climate Change, Clean Water & Waste Infrastructure",
GA,13147960502,Corps of Engineers Operation and Maintenance,Inland Flood Risk Management Projects,,,980666.67,"Hartwell Lake, GA & SC","FLD_ET, N_HLTH","Climate Change, Clean Water & Waste Infrastructure",
GA,13147960503,Corps of Engineers Operation and Maintenance,Inland Flood Risk Management Projects,,,980666.67,"Hartwell Lake, GA & SC","FLD_ET, N_HLTH","Climate Change, Clean Water & Waste Infrastructure",
GA,13161960101,Clean School Bus Program,,,,237000,Jeff Davis County,DS_ET,Clean Transportation,
GA,13161960102,Clean School Bus Program,,,,237000,Jeff Davis County,DS_ET,Clean Transportation,
GA,13161960201,Clean School Bus Program,,,,237000,Jeff Davis County,DS_ET,Clean Transportation,
GA,13161960202,Clean School Bus Program,,,,237000,Jeff Davis County,DS_ET,Clean Transportation,
GA,13161960300,Clean School Bus Program,,,,237000,Jeff Davis County,DS_ET,Clean Transportation,
GA,13183970101,Clean School Bus Program,,,,987500,Long County,DS_ET,Clean Transportation,
GA,13183970102,Clean School Bus Program,,,,987500,Long County,DS_ET,Clean Transportation,
GA,13183970201,Clean School Bus Program,,,,987500,Long County,DS_ET,Clean Transportation,
GA,13183970202,Clean School Bus Program,,,,987500,Long County,DS_ET,Clean Transportation,
GA,13187960203,"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) - Formula",,,,400000,"Garwood Lake Dam Decommission & Removal, Pe","N_CLT, TD_ET",Climate Change,X
GA,13191110101,Grants For States And Tribes For Voluntary Restoration,,,,87168.1,The Georgia Sentinel Landscape Futures Initiative,"N_CLT, N_HLTH",Climate Change,
GA,13191110201,Construction of Ferry Boats and Ferry Terminal Facilities,,,,56135,"Ferry Boat Program - State of Georgia, Department of Natural Resources",PM25_ET,Clean Transportation,
GA,13191110300,"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) - Formula",,,,680000,"SR 25 @ Darien River In Darien, Pe (preliminary engineering?)","N_CLT, TD_ET",Climate Change,X
GA,13199970501,Clean School Bus Program,,,,451428.57,Meriwether County,DS_ET,Clean Transportation,
GA,13199970502,Clean School Bus Program,,,,451428.57,Meriwether County,DS_ET,Clean Transportation,
GA,13199970600,Clean School Bus Program,,,,451428.57,Meriwether County,DS_ET,Clean Transportation,
GA,13199970701,Clean School Bus Program,,,,451428.57,Meriwether County,DS_ET,Clean Transportation,
GA,13199970702,Clean School Bus Program,,,,451428.57,Meriwether County,DS_ET,Clean Transportation,
GA,13199970802,Clean School Bus Program,,,,451428.57,Meriwether County,DS_ET,Clean Transportation,
GA,13199970801,Clean School Bus Program,,,,451428.57,Meriwether County,DS_ET,Clean Transportation,
GA,13201950100,"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) - Formula",,,,2056891.51,"SR 91 from Avenue Road to Griffin Sheffield Road, Mcst ","N_CLT, TD_ET",Climate Change ,X
GA,13213010300,Corps of Engineers Operation and Maintenance,Inland Flood Risk Management Projects,,,8881000,"Carters Dam and Lake, GA",FLD_ET,"Climate Change, Clean Water & Waste Infrastructure",
GA,13221960100,Clean School Bus Program,,,,329166.67,Macon County,DS_ET,Clean Transportation,
GA,13221960203,Clean School Bus Program,,,,329166.67,Macon County,DS_ET,Clean Transportation,
GA,13221960204,Clean School Bus Program,,,,329166.67,Macon County,DS_ET,Clean Transportation,
GA,13221960205,Clean School Bus Program,,,,329166.67,Macon County,DS_ET,Clean Transportation,
GA,13221960206,Clean School Bus Program,,,,329166.67,Macon County,DS_ET,Clean Transportation,
GA,13221960300,Clean School Bus Program,,,,329166.67,Macon County,DS_ET,Clean Transportation,
GA,13245010801,Grants For States And Tribes For Voluntary Restoration,,,,87168.1,The Georgia Sentinel Landscape Futures Initiative,"N_CLT, N_HLTH",Climate Change,
GA,13245010802,Grants For States And Tribes For Voluntary Restoration,,,,87168.1,The Georgia Sentinel Landscape Futures Initiative,"N_CLT, N_HLTH",Climate Change,
GA,13259950100,"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) - Formula",,,,1479663.04,"SR 520/US 280 @ Cr 66/Red Hill Road, Mcst","N_CLT, TD_ET",Climate Change,X
GA,13273120400,"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) - Formula",,,,440000,"SR 55 @ Clarks Millpond Dam, Pe","N_CLT, TD_ET",Climate Change,X
GA,13285961000,Inland Flood Risk Management Projects,,,,7251000,"West Point Dam and Lake, GA & AL",FLD_ET,Climate Change,
GA,13287970201,"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) - Formula",,,,480000,"I-75 @ Cr 159/Alberson Road, Pe","N_CLT, TD_ET",Climate Change,X
GA,13287970202,"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) - Formula",,,,480000,"I-75 @ Cr 159/Alberson Road, Pe","N_CLT, TD_ET",Climate Change,X
GA,13095010702,"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) - Formula",,,,34000,"SR 520Bu @ Flint River In Albany, Row","N_CLT, TD_ET",Climate Change,X
GA,13291000101,Clean School Bus Program,,,,197500,Union County,DS_ET,Clean Transportation,
GA,13291000103,Clean School Bus Program,,,,197500,Union County,DS_ET,Clean Transportation,
GA,13291000104,Clean School Bus Program,,,,197500,Union County,DS_ET,Clean Transportation,
GA,13291000201,Clean School Bus Program,,,,197500,Union County,DS_ET,Clean Transportation,
GA,13291000203,Clean School Bus Program,,,,197500,Union County,DS_ET,Clean Transportation,
GA,13291000204,Clean School Bus Program,,,,197500,Union County,DS_ET,Clean Transportation,
GA,13291000206,Clean School Bus Program,,,,197500,Union County,DS_ET,Clean Transportation,
GA,13291000207,Clean School Bus Program,,,,197500,Union County,DS_ET,Clean Transportation,
GA,13317010101,Clean School Bus Program,,,,583750,Wilkes County,DS_ET,Clean Transportation,
GA,13317010102,Clean School Bus Program,,,,583750,Wilkes County,DS_ET,Clean Transportation,
GA,13317010301,Clean School Bus Program,,,,583750,Wilkes County,DS_ET,Clean Transportation,
GA,13317010302,Clean School Bus Program,,,,583750,Wilkes County,DS_ET,Clean Transportation,
NY,26007013301,Superfund,,,,"$2,022,500 ",Vestal Water Supply Well 1-1,NPL_ET,Remediation & Reduction of Legacy Pollution,
NY,36001014201,Congestion Mitigation and Air Quality Improvement Program,,,,569127,Tap/Cmaq - Glenmont Rd Sidewalk/Rt9W Feura Bush Roundabout,TP_ET,Clean Transportation,
NY,36001014301,Congestion Mitigation and Air Quality Improvement Program,,,,569127,Tap/Cmaq - Glenmont Rd Sidewalk/Rt9W Feura Bush Roundabout,TP_ET,Clean Transportation,
NY,36001014303,Congestion Mitigation and Air Quality Improvement Program,,,,569127,Tap/Cmaq - Glenmont Rd Sidewalk/Rt9W Feura Bush Roundabout,TP_ET,Clean Transportation,
NY,36001014304,Congestion Mitigation and Air Quality Improvement Program,,,,569127,Tap/Cmaq - Glenmont Rd Sidewalk/Rt9W Feura Bush Roundabout,TP_ET,Clean Transportation,
NY,36001014700,Clean School Bus Program,,,,76250,Duanesburg Central School District,DS_ET,Clean Transportation,
NY,36005011701,Nationally Significant Freight and Highway Projects (INFRA),,,,55000000,Hunts Point Terminal Produce Market Intermodal Facility,"DS_ET, N_WKFC, N_HLTH",Clean Energy & Energy Efficiency,
NY,36005011702,Nationally Significant Freight and Highway Projects (INFRA),,,,55000000,Hunts Point Terminal Produce Market Intermodal Facility,"DS_ET, N_WKFC, N_HLTH",Clean Energy & Energy Efficiency,
NY,36007011901,Clean School Bus Program,,,,296250,Marathon Central School District,DS_ET,Clean Transportation,
NY,36007011903,Clean School Bus Program,,,,296250,Marathon Central School District,DS_ET,Clean Transportation,
NY,36007013000,Superfund,,,,2022500,Vestal Water Supply Well 1-1,NPL_ET,Remediation & Reduction of Legacy Pollution,
NY,36007013100,Superfund,,,,2022500,Vestal Water Supply Well 1-1,NPL_ET,Remediation & Reduction of Legacy Pollution,
NY,36007013500,Superfund,,,,2022500,Vestal Water Supply Well 1-1,NPL_ET,Remediation & Reduction of Legacy Pollution,
NY,36007013600,Superfund,,,,2022500,Vestal Water Supply Well 1-1,NPL_ET,Remediation & Reduction of Legacy Pollution,
NY,36007013700,Superfund,,,,2022500,Vestal Water Supply Well 1-1,NPL_ET,Remediation & Reduction of Legacy Pollution,
NY,36007014301,Superfund,,,,2022500,Vestal Water Supply Well 1-1,NPL_ET,Remediation & Reduction of Legacy Pollution,
NY,36007014400,Superfund,,,,2022500,Vestal Water Supply Well 1-1,NPL_ET,Remediation & Reduction of Legacy Pollution,
NY,36007014500,Superfund,,,,2022500,Vestal Water Supply Well 1-1,NPL_ET,Remediation & Reduction of Legacy Pollution,
NY,36007014600,Superfund,,,,2022500,Vestal Water Supply Well 1-1,NPL_ET,Remediation & Reduction of Legacy Pollution,
NY,36009960400,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),,,,150000,"Thatcher Brook, Gowanda, ny (Sec 205)",FLD_ET,Climate Change,
NY,36011040400,Clean School Bus Program,,,,56429,Jordan-Elbridge Central School District,DS_ET,Clean Transportation,
NY,36011040600,Clean School Bus Program,,,,56429,Jordan-Elbridge Central School District,DS_ET,Clean Transportation,
NY,36013035800,Congestion Mitigation and Air Quality Improvement Program,,,,369600,ny 60; ny 83 - US 20,TP_ET,Clean Transportation,
NY,36013035901,Congestion Mitigation and Air Quality Improvement Program,,,,369600,ny 60; ny 83 - US 20,TP_ET,Clean Transportation,
NY,36013035902,Congestion Mitigation and Air Quality Improvement Program,,,,369600,ny 60; ny 83 - US 20,TP_ET,Clean Transportation,
NY,36013036000,Congestion Mitigation and Air Quality Improvement Program,,,,369600,ny 60; ny 83 - US 20,TP_ET,Clean Transportation,
NY,36015010600,Superfund,,,,261000,"Facet Enterprises, Inc.",NPL_ET,Remediation & Reduction of Legacy Pollution,
NY,36015010800,Superfund,,,,261000,"Facet Enterprises, Inc.",NPL_ET,Remediation & Reduction of Legacy Pollution,
NY,36021000100,Clean School Bus Program,,,,314167,Chatham Central School District,DS_ET,Clean Transportation,
NY,36021000200,Clean School Bus Program,,,,314167,Chatham Central School District,DS_ET,Clean Transportation,
NY,36021000300,Clean School Bus Program,,,,314167,Chatham Central School District,DS_ET,Clean Transportation,
NY,36021000401,Clean School Bus Program,,,,314167,Chatham Central School District,DS_ET,Clean Transportation,
NY,36021000700,Clean School Bus Program,,,,878453,"Chatham Central School District, Taconic Hills Central School District",DS_ET,Clean Transportation,
NY,36021000800,Clean School Bus Program,,,,878453,"Chatham Central School District, Taconic Hills Central School District",DS_ET,Clean Transportation,
NY,36021000900,Clean School Bus Program,,,,564286,Taconic Hills Central School District,DS_ET,Clean Transportation,
NY,36021001000,Clean School Bus Program,,,,564286,Taconic Hills Central School District,DS_ET,Clean Transportation,
NY,36021001500,Clean School Bus Program,,,,564286,Taconic Hills Central School District,DS_ET,Clean Transportation,
NY,36021001600,Clean School Bus Program,,,,564286,Taconic Hills Central School District,DS_ET,Clean Transportation,
NY,36021001700,Clean School Bus Program,,,,564286,Taconic Hills Central School District,DS_ET,Clean Transportation,
NY,36023970100,Clean School Bus Program,,,,395000,Fabius-Pompey Central School District,DS_ET,Clean Transportation,
NY,36023971100,Clean School Bus Program,,,,296250,Marathon Central School District,DS_ET,Clean Transportation,
NY,36023971200,Clean School Bus Program,,,,296250,Marathon Central School District,DS_ET,Clean Transportation,
NY,36025970300,Inland Flood Risk Management Projects,,,,440000,"East Sidney Lake, NY",FLD_ET,Climate Change,
NY,36025970401,Inland Flood Risk Management Projects,,,,440000,"East Sidney Lake, NY",FLD_ET,Climate Change,
NY,36025970501,Clean School Bus Program,,,,79000,Downsville Central School District,DS_ET,Clean Transportation,
NY,36025970601,Clean School Bus Program,,,,79000,Downsville Central School District,DS_ET,Clean Transportation,
NY,36025970700,Clean School Bus Program,,,,79000,Downsville Central School District,DS_ET,Clean Transportation,
NY,36025971300,Clean School Bus Program,,,,79000,Downsville Central School District,DS_ET,Clean Transportation,
NY,36025971400,Clean School Bus Program,,,,79000,Downsville Central School District,DS_ET,Clean Transportation,
NY,36029003100,Local and Regional Project Assistance Grants (RAISE),,,,3125000,Transforming Main Street,"N_TRN, N_WKFC",Clean Transportation,
NY,36029003301,Reconnecting Communities Pilot Program,,,,7942500,NYS Route 33 (Kensington Expressway) Project,"N_TRN, N_WKFC",Clean Transportation,
NY,36029003302,Reconnecting Communities Pilot Program,,,,7942500,NYS Route 33 (Kensington Expressway) Project,"N_TRN, N_WKFC",Clean Transportation,
NY,36029003400,Reconnecting Communities Pilot Program,,,,7942500,NYS Route 33 (Kensington Expressway) Project,"N_TRN, N_WKFC",Clean Transportation,
NY,36029003501,Reconnecting Communities Pilot Program,,,,7942500,NYS Route 33 (Kensington Expressway) Project,"N_TRN, N_WKFC",Clean Transportation,
NY,36029003502,Reconnecting Communities Pilot Program,,,,7942500,NYS Route 33 (Kensington Expressway) Project,"N_TRN, N_WKFC",Clean Transportation,
NY,36029005202,"Local and Regional Project Assistance Grants (RAISE), Reconnecting Communities Pilot Program",,,,11067500,"Transforming Main Street, NYS Route 33 (Kensington Expressway) Project","N_TRN, N_WKFC",Clean Transportation,
NY,36029005300,"Local and Regional Project Assistance Grants (RAISE), Reconnecting Communities Pilot Program",,,,3125000,Transforming Main Street,"N_TRN, N_WKFC",Clean Transportation,
NY,36029005500,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),,,,33333,"Scajaquada Creek, Buffalo, NY (Sec 1135)","N_CLT, N_WTR",Climate Change,
NY,36029005900,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),,,,33333,"Scajaquada Creek, Buffalo, NY (Sec 1135)","N_CLT, N_WTR",Climate Change,
NY,36029006100,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),,,,100000,"Broderick Park, Buffalo, NY (CAP Section 103)","N_WTR, N_HLTH",Clean Water & Waste Infrastructure,
NY,36029006602,Local and Regional Project Assistance Grants (RAISE),,,,3125000,Transforming Main Street,"N_TRN, N_WKFC",Clean Transportation,
NY,36029006702,Local and Regional Project Assistance Grants (RAISE),,,,3125000,Transforming Main Street,"N_TRN, N_WKFC",Clean Transportation,
NY,36029006801,Local and Regional Project Assistance Grants (RAISE),,,,3125000,Transforming Main Street,"N_TRN, N_WKFC",Clean Transportation,
NY,36029006802,Local and Regional Project Assistance Grants (RAISE),,,,3125000,Transforming Main Street,"N_TRN, N_WKFC",Clean Transportation,
NY,36029016900,Local and Regional Project Assistance Grants (RAISE),,,,3125000,Transforming Main Street,"N_TRN, N_WKFC",Clean Transportation,
NY,36029017000,Reconnecting Communities Pilot Program,,,,7942500,NYS Route 33 (Kensington Expressway) Project,"N_TRN, N_WKFC",Clean Transportation,
NY,36029017100,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),,,,33333,"Scajaquada Creek, Buffalo, NY (Sec 1135)","N_CLT, N_WTR",Climate Change,
NY,36029940000,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),Local and Regional Project Assistance Grants (RAISE),Indian Health Service Sanitation Facilities Construction Program,,12057317.33,"Seneca Nation of Indians Territories, NY (Cap Sec 1135), Southern Tier Regional Transit Hub, Sene Ccws 438 Watermain Replacement, Sene Ccws Brant Res. Road Water Main Loop","N_CLT, N_WTR, N_TRN, N_WKFC, UST_ET","Climate Change, Training & Workforce Development, Clean Water & Waste Infrastructure",
NY,36009940000,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),Local and Regional Project Assistance Grants (RAISE),Indian Health Service Sanitation Facilities Construction Program,,12057317.33,"Seneca Nation of Indians Territories, NY (Cap Sec 1135), Southern Tier Regional Transit Hub, Sene Ccws 438 Watermain Replacement, Sene Ccws Brant Res. Road Water Main Loop","N_CLT, N_WTR, N_TRN, N_WKFC, UST_ET","Climate Change, Training & Workforce Development, Clean Water & Waste Infrastructure",
NY,36013037600,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),Local and Regional Project Assistance Grants (RAISE),Indian Health Service Sanitation Facilities Construction Program,,12057317.33,"Seneca Nation of Indians Territories, NY (Cap Sec 1135), Southern Tier Regional Transit Hub, Sene Ccws 438 Watermain Replacement, Sene Ccws Brant Res. Road Water Main Loop","N_CLT, N_WTR, N_TRN, N_WKFC, UST_ET","Climate Change, Training & Workforce Development, Clean Water & Waste Infrastructure",
NY,36033940000,Clean School Bus Program,Formula Grants for Rural Areas,,,1076633,"Salmon River Central School District, Saint Regis Mohawk Tribe","DS_ET, N_TRN, N_WKFC","Clean Transportation, Training & Workforce Development",
NY,36033950200,Clean School Bus Program,,,,1094714,"Malone Central School District, Salmon River Central School District",DS_ET,Clean Transportation,
NY,36033950301,Clean School Bus Program,,,,869000,Salmon River Central School District,DS_ET,Clean Transportation,
NY,36033950501,Clean School Bus Program,,,,225714,Malone Central School District ,DS_ET,Clean Transportation,
NY,36033950502,Clean School Bus Program,,,,225714,Malone Central School District ,DS_ET,Clean Transportation,
NY,36033950601,Clean School Bus Program,,,,225714,Malone Central School District ,DS_ET,Clean Transportation,
NY,36033951300,Clean School Bus Program,,,,1094714,"Malone Central School District, Salmon River Central School District",DS_ET,Clean Transportation,
NY,36033951400,Clean School Bus Program,,,,225714,Malone Central School District ,DS_ET,Clean Transportation,
NY,36033952000,Clean School Bus Program,,,,225714,Malone Central School District ,DS_ET,Clean Transportation,
NY,36035970500,Brownfields Projects,,,,83333,Brownfields Project - Herkimer County Industrial Development Agency,,Remediation & Reduction of Legacy Pollution,X
NY,36035970700,Brownfields Projects,,,,100000,"Brownfields Project - Gloversville, City of",TSDF_ET,Remediation & Reduction of Legacy Pollution,
NY,36035970800,Brownfields Projects,,,,100000,"Brownfields Project - Gloversville, City of",TSDF_ET,Remediation & Reduction of Legacy Pollution,
NY,36035970900,Brownfields Projects,,,,100000,"Brownfields Project - Gloversville, City of",TSDF_ET,Remediation & Reduction of Legacy Pollution,
NY,36035971000,Brownfields Projects,,,,100000,"Brownfields Project - Gloversville, City of",TSDF_ET,Remediation & Reduction of Legacy Pollution,
NY,36035971100,Brownfields Projects,,,,100000,"Brownfields Project - Gloversville, City of",TSDF_ET,Remediation & Reduction of Legacy Pollution,
NY,36037940100,Indian Health Service Sanitation Facilities Construction Program,,,,124200,Tona Onsite Wastewater System Rehabilitation,"WD_ET, N_WTR",Clean Water & Waste Infrastructure,
NY,36039080402,Clean School Bus Program,,,,829500,Onteora Central School District,DS_ET,Clean Transportation,
